formula_pretty,nelements,structure_count,nsites_min,nsites_median,nsites_max,elements
Mg(BiO2)2,3,14,7,21.0,56,Bi Mg O
MgCo6(O2F)4,4,14,19,19.0,19,Co F Mg O
Ca2SiO4,3,14,7,28.0,84,Ca O Si
Sr2MgZn2Sn2(PO4)4,6,14,27,27.0,27,Mg O P Sn Sr Zn
Li2MnSiO4,4,14,16,32.0,64,Li Mn O Si
Li2MnV(PO4)3,5,14,38,38.0,38,Li Mn O P V
Li4Cr3CoO8,4,14,16,32.0,32,Co Cr Li O
Li4Cr3NiO8,4,14,16,32.0,32,Cr Li Ni O
Li2VCrO4,4,14,8,16.0,24,Cr Li O V
Li2Mn3F8,3,14,13,26.0,52,F Li Mn
LiMn2O4,3,14,7,35.0,126,Li Mn O
LiTi2(PO4)3,4,14,36,72.0,72,Li O P Ti
Li8Mn3Fe5(BO3)8,5,14,48,48.0,48,B Fe Li Mn O
LiV3OF11,4,14,16,32.0,32,F Li O V
Y2O3,2,14,5,25.0,100,O Y
LiMnOF2,4,14,10,20.0,40,F Li Mn O
Mn4O7F,3,14,12,24.0,24,F Mn O
V2O3,2,14,10,15.0,40,O V
Cr2O3,2,14,10,80.0,80,Cr O
Li3(CoO2)4,3,14,15,30.0,30,Co Li O
NiS2,2,14,3,6.0,12,Ni S
CrPO4,3,14,12,24.0,48,Cr O P
LiNi(PO3)4,4,14,36,36.0,72,Li Ni O P
C3N4,2,14,7,14.0,28,C N
ReN2,2,14,3,6.0,12,N Re
P,1,14,1,4.0,84,P
C3N,2,14,4,8.0,32,C N
Mg2Cd,2,14,6,6.0,12,Cd Mg
Zn(MoO2)2,3,14,14,28.0,56,Mo O Zn
Zn(SnO2)2,3,14,14,21.0,56,O Sn Zn
Ca(AgO2)2,3,14,14,21.0,56,Ag Ca O
Ca(CuO2)2,3,14,14,14.0,56,Ca Cu O
Mg(SnO2)2,3,14,14,21.0,56,Mg O Sn
Mg2Sb,2,14,6,6.0,6,Mg Sb
AlF3,2,14,4,10.0,100,Al F
Sb,1,14,1,2.0,14,Sb
Li3Mn(CoO3)2,4,14,12,18.0,24,Co Li Mn O
LiTi(PO3)4,4,14,36,36.0,72,Li O P Ti
LiP4WO12,4,14,36,36.0,72,Li O P W
Co6O5F7,3,14,18,18.0,18,Co F O
Li2TiVO4,4,14,16,32.0,32,Li O Ti V
Li2CuSiO4,4,14,8,32.0,32,Cu Li O Si
Li2V(CO3)2,4,13,22,44.0,44,C Li O V
LiFe(PO3)3,4,13,14,56.0,56,Fe Li O P
CaV2O4,3,13,14,28.0,42,Ca O V
MgIn2,2,13,3,6.0,6,In Mg
Y2Mg,2,13,6,6.0,12,Mg Y
Zn(NiO2)2,3,13,14,14.0,42,Ni O Zn
MgCr4O8,3,13,13,13.0,13,Cr Mg O
MgZn2(NiO2)4,4,13,15,15.0,15,Mg Ni O Zn
Mg(BiO2)4,3,13,13,13.0,13,Bi Mg O
MgFe6O7F5,4,13,19,19.0,19,F Fe Mg O
GaAs,2,13,2,16.0,100,As Ga
Zn(WO2)2,3,13,14,28.0,56,O W Zn
LiCuS,3,13,6,12.0,72,Cu Li S
Ba2SrI6,3,13,9,27.0,36,Ba I Sr
Mg(WO2)2,3,13,14,28.0,56,Mg O W
Li2FeBO4,4,13,16,32.0,64,B Fe Li O
LaAlO3,3,13,5,30.0,60,Al La O
LiFePCO7,5,13,22,44.0,66,C Fe Li O P
Sr2CaI6,3,13,9,27.0,36,Ca I Sr
Li5Fe2P2(CO7)2,5,13,25,50.0,50,C Fe Li O P
Mn2O3,2,13,10,80.0,160,Mn O
Li2AlFeO4,4,13,16,32.0,64,Al Fe Li O
LiCr2O4,3,13,7,14.0,28,Cr Li O
LiFe(SiO3)2,4,13,10,40.0,80,Fe Li O Si
LiVPO4,4,13,14,28.0,84,Li O P V
LiCu2PO4,4,13,8,16.0,32,Cu Li O P
LiVO2,3,13,4,16.0,32,Li O V
NbS2,2,13,3,3.0,12,Nb S
LiFe2F5,3,13,16,32.0,32,F Fe Li
Li2VF4,3,13,7,28.0,56,F Li V
Li3V2P4(HO8)2,5,13,54,54.0,81,H Li O P V
LiVF3,3,13,10,20.0,90,F Li V
VS2,2,13,3,3.0,12,S V
LiNi(PO3)3,4,13,14,56.0,56,Li Ni O P
CaCr2O4,3,13,14,28.0,56,Ca Cr O
TiNi,2,13,2,4.0,18,Ni Ti
MoN,2,13,2,4.0,16,Mo N
TaN,2,13,2,6.0,100,N Ta
TaSe2,2,13,3,6.0,156,Se Ta
Zn(CoO2)2,3,13,14,28.0,56,Co O Zn
V2ZnO4,3,13,14,28.0,56,O V Zn
Mg(MoO2)2,3,13,14,28.0,56,Mg Mo O
Ca(BiO2)2,3,13,14,28.0,56,Bi Ca O
Ca(SbO2)2,3,13,14,28.0,56,Ca O Sb
